Skin types;Products;Product name;Image path;Product link
Dry skin;Sunscreen;Skin Aqua Moisture Milk;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Sunscreen/Skin Aqua Moisture Milk.png;
Dry skin;Sunscreen;Biore UV Aqua Rich Essence;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Sunscreen/Biore UV Aqua Rich Essence.png;
Dry skin;Sunscreen;Vichy Ideal Soleil SPF50;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Sunscreen/Vichy Ideal Soleil SPF50.png;
Dry skin;Face mask;Naruko Mask;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Face_mask/Naruko Mask.png;
Dry skin;Face mask;Kiehl’s Avocado Nourishing Mask;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Face_mask/Kiehl’s Avocado Nourishing Mask.png;
Dry skin;Face mask;Laneige Water Sleeping Mask;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Face_mask/Laneige Water Sleeping Mask.png;
Dry skin;Makeup remover;Cocoon Winter Melon Cleansing Balm;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Makeup_remover/Cocoon Winter Melon Cleansing Balm.png;
Dry skin;Makeup remover;Bioderma Hydrabio H2O;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Makeup_remover/Bioderma Hydrabio H2O.png;
Dry skin;Makeup remover;Banila Co Clean It Zero;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Makeup_remover/Banila Co Clean It Zero.png;
Dry skin;Exfoliant;Cure Natural Aqua Gel;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Exfoliant/Cure Natural Aqua Gel.png;
Dry skin;Exfoliant;Cosrx AHA 7 Whitehead Power;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Exfoliant/Cosrx AHA 7 Whitehead Power.png;
Dry skin;Exfoliant;Dermalogica Daily Microfoliant;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Exfoliant/Dermalogica Daily Microfoliant.png;
Dry skin;Moisturizer;Hada Labo Advanced Nourish Hyaluronic Acid Cream;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Moisturizer/Hada Labo Advanced Nourish Hyaluronic Acid Cream.png;
Dry skin;Moisturizer;Cetaphil Moisturizing Cream;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Moisturizer/Cetaphil Moisturizing Cream.png;
Dry skin;Moisturizer;Laneige Water Bank Cream;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Moisturizer/Laneige Water Bank Cream.png;
Combination skin;Cleanser;Naruko Tea Tree Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Cleanser/Naruko Tea Tree Cleanser.png;
Combination skin;Cleanser;Cosrx Low pH Gel;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Cleanser/Cosrx Low pH Gel.png;
Combination skin;Cleanser;Kiehl’s Calendula Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Cleanser/Kiehl’s Calendula Cleanser.png;
Combination skin;Toner;Evoluderm Lotion Tonique;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Toner/Evoluderm Lotion Tonique.png;
Combination skin;Toner;The Ordinary Glycolic Acid 7%;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Toner/The Ordinary Glycolic Acid 7_.png;
Combination skin;Toner;Paula's Choice Pore-Reducing Toner;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Toner/Paula_s Choice Pore-Reducing Toner.png;
Combination skin;Serum;The Ordinary Niacinamide 10% + Zinc;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Serum/The Ordinary Niacinamide 10_ + Zinc.png;
Combination skin;Serum;L'Oreal Revitalift Hyaluronic Acid;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Serum/L_Oreal Revitalift Hyaluronic Acid.png;
Combination skin;Serum;Skinceuticals Blemish + Age Defense;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Serum/Skinceuticals Blemish + Age Defense.png;
Combination skin;Sunscreen;Biore UV Aqua Rich;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Sunscreen/Biore UV Aqua Rich.png;
Combination skin;Sunscreen;Anessa Moisture UV;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Sunscreen/Anessa Moisture UV.png;
Combination skin;Sunscreen;La Roche-Posay Anthelios UVMune;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Sunscreen/La Roche-Posay Anthelios UVMune.png;
Combination skin;Face mask;Innisfree Clay Mask;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Face_mask/Innisfree Clay Mask.png;
Combination skin;Face mask;Lush Mask of Magnaminty;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Face_mask/Lush Mask of Magnaminty.png;
Combination skin;Face mask;Kiehl’s Rare Earth Deep Pore;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Face_mask/Kiehl’s Rare Earth Deep Pore.png;
Combination skin;Makeup remover;Byphasse Micellar Water;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Makeup_remover/Byphasse Micellar Water.png;
Combination skin;Makeup remover;L’Oreal Micellar Water 3-in-1;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Makeup_remover/L’Oreal Micellar Water 3-in-1.png;
Combination skin;Makeup remover;Banila Co Clean It Zero;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Makeup_remover/Banila Co Clean It Zero.png;
Combination skin;Exfoliant;AHA-BHA-PHA Some By Mi Toner;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Exfoliant/AHA-BHA-PHA Some By Mi Toner.png;
Combination skin;Exfoliant;Cosrx BHA Liquid;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Exfoliant/Cosrx BHA Liquid.png;
Combination skin;Exfoliant;Paula's Choice 2% BHA;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Exfoliant/Paula_s Choice 2_ BHA.png;
Combination skin;Moisturizer;Simple Water Boost Gel Cream;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Moisturizer/Simple Water Boost Gel Cream.png;
Combination skin;Moisturizer;Neutrogena Hydro Boost;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Moisturizer/Neutrogena Hydro Boost.png;
Combination skin;Moisturizer;Clinique Moisture Surge;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Moisturizer/Clinique Moisture Surge.png;
Sensitive skin;Cleanser;Cetaphil Gentle Skin Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Cleanser/Cetaphil Gentle Skin Cleanser.png;
Sensitive skin;Cleanser;Avene Cleanance Gel;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Cleanser/Avene Cleanance Gel.png;
Sensitive skin;Cleanser;Eucerin pH5 Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Cleanser/Eucerin pH5 Cleanser.png;
Sensitive skin;Toner;Simple Soothing Toner;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Toner/Simple Soothing Toner.png;
Sensitive skin;Toner;Klairs Unscented Toner;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Toner/Klairs Unscented Toner.png;
Sensitive skin;Toner;La Roche-Posay Thermal Spring Water;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Toner/La Roche-Posay Thermal Spring Water.jpg;
Sensitive skin;Serum;Good Molecules Niacinamide;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Serum/Good Molecules Niacinamide.png;
Sensitive skin;Serum;Vichy Mineral 89;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Serum/Vichy Mineral 89.png;
Sensitive skin;Serum;Dr. Jart+ Cicapair Tiger Grass Serum;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Serum/Dr. Jart+ Cicapair Tiger Grass Serum.png;
Sensitive skin;Sunscreen;Anessa Mild Milk;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Sunscreen/Anessa Mild Milk.png;
Sensitive skin;Sunscreen;La Roche-Posay Anthelios Shaka Fluid;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Sunscreen/La Roche-Posay Anthelios Shaka Fluid.png;
Sensitive skin;Sunscreen;Eucerin Sun Sensitive Protect SPF50+;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Sunscreen/Eucerin Sun Sensitive Protect SPF50+.png;
Sensitive skin;Face mask;Mediheal Mask;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Face_mask/Mediheal Mask.png;
Sensitive skin;Face mask;Klairs Midnight Blue Calming Mask;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Face_mask/Klairs Midnight Blue Calming Mask.png;
Sensitive skin;Face mask;Dr.Jart+ Ceramidin Mask;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Face_mask/Dr.Jart+ Ceramidin Mask.png;
Sensitive skin;Makeup remover;Garnier Micellar Water;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Makeup_remover/Garnier Micellar Water.png;
Sensitive skin;Makeup remover;Bioderma Sensibio H2O;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Makeup_remover/Bioderma Sensibio H2O.png;
Sensitive skin;Makeup remover;La Roche-Posay Micellar Ultra;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Makeup_remover/La Roche-Posay Micellar Ultra.png;
Sensitive skin;Exfoliant;Cure Aqua Gel;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Exfoliant/Cure Aqua Gel.png;
Sensitive skin;Exfoliant;Paula's Choice Calm 1% BHA Sensitive Skin Exfoliant;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Exfoliant/Paula's Choice Calm 1% BHA Sensitive Skin Exfoliant.png;
Sensitive skin;Exfoliant;Dermalogica Daily Milkfoliant;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Exfoliant/Dermalogica Daily Milkfoliant.png;
Sensitive skin;Moisturizer;Simple Hydrating Light Moisturizer;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Moisturizer/Simple Hydrating Light Moisturizer.png;
Sensitive skin;Moisturizer;Bioderma Sensibio Light;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Moisturizer/Bioderma Sensibio Light.png;
Sensitive skin;Moisturizer;La Roche-Posay Toleriane Sensitive;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Moisturizer/La Roche-Posay Toleriane Sensitive.png;
