Skin types;Products;Product name;Image path;Product link
;;Vichy Mineral 89;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Serum/Vichy Mineral 89.png;
;;Dr. Jart+ Cicapair Tiger Grass Serum;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Serum/Dr. Jart+ Cicapair Tiger Grass Serum.png;
;Sunscreen;Anessa Mild Milk;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Sunscreen/Anessa Mild Milk.png;
;;La Roche-Posay Anthelios Shaka Fluid;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Sunscreen/La Roche-Posay Anthelios Shaka Fluid.png;
;;Eucerin Sun Sensitive Protect SPF50+;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Sunscreen/Eucerin Sun Sensitive Protect SPF50+.png;
;Face mask;Mediheal Mask;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Face_mask/Mediheal Mask.png;
;;Klairs Midnight Blue Calming Mask;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Face_mask/Klairs Midnight Blue Calming Mask.png;
;;Dr.Jart+ Ceramidin Mask;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Face_mask/Dr.Jart+ Ceramidin Mask.png;
;Makeup remover;Garnier Micellar Water;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Makeup_remover/Garnier Micellar Water.png;
;;Bioderma Sensibio H2O;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Makeup_remover/Bioderma Sensibio H2O.png;
;;La Roche-Posay Micellar Ultra;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Makeup_remover/La Roche-Posay Micellar Ultra.png;
;Exfoliant;Cure Aqua Gel;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Exfoliant/Cure Aqua Gel.png;
;;Paula's Choice Calm 1% BHA Sensitive Skin Exfoliant;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Exfoliant/Paula's Choice Calm 1% BHA Sensitive Skin Exfoliant.png;
;;Dermalogica Daily Milkfoliant;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Exfoliant/Dermalogica Daily Milkfoliant.png;
;Moisturizer;Simple Hydrating Light Moisturizer;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Moisturizer/Simple Hydrating Light Moisturizer.png;
;;Bioderma Sensibio Light;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Moisturizer/Bioderma Sensibio Light.png;
;;La Roche-Posay Toleriane Sensitive;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Moisturizer/La Roche-Posay Toleriane Sensitive.png;
